时间,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-12-21 09:31,1640.01,1651.00,1652.69,1640.01,882,145051581.00,0.77,0.07,1.21,0.01
2023-12-21 09:32,1650.95,1657.90,1658.00,1650.95,276,45686371.00,0.43,0.42,6.90,0.00
2023-12-21 09:33,1657.01,1654.87,1657.01,1654.01,243,40225669.00,0.18,-0.18,-3.03,0.00
2023-12-21 09:34,1654.87,1654.40,1656.00,1653.99,196,32436856.00,0.12,-0.03,-0.47,0.00
2023-12-21 09:35,1654.10,1656.73,1657.23,1654.10,238,39457085.00,0.19,0.14,2.33,0.00
2023-12-21 09:36,1657.01,1656.88,1657.01,1654.08,254,42013148.00,0.18,0.01,0.15,0.00
2023-12-21 09:37,1656.88,1659.02,1659.79,1656.88,333,55230858.00,0.18,0.13,2.14,0.00
2023-12-21 09:38,1659.00,1655.65,1659.00,1655.65,279,46233853.00,0.20,-0.20,-3.37,0.00
2023-12-21 09:39,1655.62,1659.00,1659.00,1655.62,137,22694618.00,0.20,0.20,3.35,0.00
2023-12-21 09:40,1658.97,1661.31,1661.31,1656.91,451,74882819.00,0.27,0.14,2.31,0.00
2023-12-21 09:41,1660.99,1662.00,1664.37,1660.38,323,53693099.00,0.24,0.04,0.69,0.00
2023-12-21 09:42,1660.38,1660.54,1662.00,1660.38,107,17778984.00,0.10,-0.09,-1.46,0.00
2023-12-21 09:43,1661.89,1661.80,1661.89,1660.54,109,18110382.00,0.08,0.08,1.26,0.00
2023-12-21 09:44,1662.26,1664.36,1665.00,1662.26,494,82195873.00,0.16,0.15,2.56,0.00
2023-12-21 09:45,1664.40,1663.15,1664.93,1663.15,229,38138639.00,0.11,-0.07,-1.21,0.00
2023-12-21 09:46,1662.99,1664.00,1665.80,1662.69,280,46601601.00,0.19,0.05,0.85,0.00
2023-12-21 09:47,1664.03,1665.00,1665.99,1664.01,206,34307195.00,0.12,0.06,1.00,0.00
2023-12-21 09:48,1665.01,1666.66,1666.67,1664.50,258,42974981.00,0.13,0.10,1.66,0.00
2023-12-21 09:49,1666.68,1665.00,1668.00,1664.01,308,51322696.00,0.24,-0.10,-1.66,0.00
2023-12-21 09:50,1665.00,1660.61,1665.00,1660.54,115,19120025.00,0.27,-0.26,-4.39,0.00
2023-12-21 09:51,1660.89,1658.61,1662.56,1657.00,372,61753893.00,0.33,-0.12,-2.00,0.00
2023-12-21 09:52,1660.51,1658.01,1660.53,1658.00,133,22067328.00,0.15,-0.04,-0.60,0.00
2023-12-21 09:53,1658.31,1661.23,1661.48,1658.23,141,23337147.00,0.20,0.19,3.22,0.00
2023-12-21 09:54,1660.03,1658.50,1662.00,1658.50,72,12017483.00,0.21,-0.16,-2.73,0.00
